metric,correlation
points,0.8961279716900907
assists,0.8879009150403647
points_all_situations,0.8357376505062349
es_goals_for,0.8349200207182595
assists_all_situations,0.8262529157198321
shots_all_situations,0.8237727065387287
toi_all_situations,0.8182777031938774
toi_es,0.8033781713435697
toi_ev,0.8033781713435697
toi_5v5,0.7954853770138065
es_goals_against,0.7914800914032682
shifts,0.789287919468878
goals,0.7868821271909591
avg_toi_per_game_all_situations,0.782555773851518
missed_shots,0.7646039076325765
games_played,0.7504667176064471
takeaways,0.7411028046801742
goals_all_situations,0.7358943267117966
avg_es_toi_per_game,0.7088172794805413
blocked_shots,0.68353987097535
toi_pp,0.6617702244101279
giveaways,0.6243551221431238
pp_points,0.5913685662226362
pp_assists,0.5894204130751439
penalties_drawn,0.5797503344037161
toi_sh,0.5559489764367349
penalties,0.5396114000742545
avg_toi_per_shift,0.5384208736188603
gw_goals,0.5321852200892192
pp_goals,0.4668270200512279
penalty_minutes,0.46155638985453856
hits,0.3887570690817539
sh_points,0.372111966266684
nst_oi_gf_5v5,0.3655773438707279
nst_ixg_all_situations,0.3620750803187362
nst_oi_xgf_5v5,0.3556772928613537
nst_oi_hdgf_5v5,0.35547070757398047
nst_oi_off_zone_starts_5v5,0.3527724864679483
nst_iff_all_situations,0.35038208497767276
nst_iscfs_all_situations,0.34940131521009377
nst_icf_all_situations,0.34780671973239374
nst_oi_hdcf_5v5,0.34743633634776844
nst_oi_scf_5v5,0.34675407589628626
nst_oi_sf_5v5,0.34445269430450703
nst_oi_ff_5v5,0.3430792627269265
nst_oi_cf_5v5,0.3417205987800217
nst_rebounds_created_all_situations,0.34122341312673615
sh_assists,0.32531479055333895
nst_hdcf_all_situations,0.3235493078141933
nst_toi_all_situations,0.3196891687782061
nst_oi_xga_5v5,0.3170498386029858
nst_oi_ga_5v5,0.31626483797919364
nst_oi_hdga_5v5,0.30996755121359476
nst_oi_neu_zone_starts_5v5,0.3093212550110543
nst_oi_hdca_5v5,0.3078041268298693
nst_oi_sa_5v5,0.30740073259133255
nst_oi_fa_5v5,0.3067335914518126
nst_oi_sca_5v5,0.30497612991242856
nst_oi_ca_5v5,0.30493951454731677
nst_rush_attempts_all_situations,0.30427961096773676
nst_oi_def_zone_starts_5v5,0.2997664017598632
nst_penalties_drawn_all_situations,0.2526249764133424
nst_hits_taken_all_situations,0.23979211891812663
sh_goals,0.23814707217562717
plus_minus,0.23558618826763364
nst_ipp_all,0.12218840672300824
nst_faceoffs_lost_all_situations,0.06458551691328136
total_faceoffs,0.06352639291964716
total_fow,0.06181215418094327
total_fol,0.04652043773293264
nst_faceoffs_won_all_situations,0.03943486898413371
nst_oi_pdo_all,-0.020187592441066857
